"ID","pubDate"
"http://example.com/datasets/dwca-test.zip","Wed, 08 Feb 2017 12:34:56 -0500"
"aa57903f-620a-416d-a669-75824d6b4b7b","Wed, 08 Feb 2017 12:34:56 -0500"
"575103a1-ff40-3c12-9f8d-6d6b93ebcfa6","Wed, 19 Apr 2023 04:21:32 GMT"
"092a4131-99ec-363d-82ce-37956892b76d","Wed, 19 Apr 2023 04:26:40 GMT"
"884ace29-6d60-3ae6-97bf-a3e2fe3c1e7c","Wed, 19 Apr 2023 04:20:39 GMT"
"75f1cd39-a881-3585-ac3c-406242dcc8f2","Wed, 19 Apr 2023 04:23:09 GMT"
"90b991bb-bd49-36a4-bd5c-9be90f9f11c3","Wed, 19 Apr 2023 04:21:46 GMT"
"ad9a2e02-27ce-3550-af4f-54e66fea27cc","Wed, 19 Apr 2023 04:26:43 GMT"
"57f201e3-6562-37ec-94d8-bf9b12293f12","Wed, 19 Apr 2023 04:26:16 GMT"
"8e8c0fcc-4c53-392a-b1a4-efc60cb5b0ff","Wed, 19 Apr 2023 04:21:37 GMT"
"9b089fda-8659-38ab-ae2c-e1b7cb49c446","Wed, 19 Apr 2023 04:21:39 GMT"
"6e48930d-faeb-38e5-9f1f-2203a63a62a1","Wed, 19 Apr 2023 04:21:42 GMT"
"cf80307d-5090-33a6-98e8-792995bfe67b","Wed, 19 Apr 2023 04:21:46 GMT"
"7fde46c7-1089-3d15-937e-55dcca9316e1","Wed, 19 Apr 2023 04:21:32 GMT"
"4453dfd6-baa9-333b-a4a8-26845100834c","Wed, 19 Apr 2023 04:21:39 GMT"
"8b49a671-79ea-33f7-98f8-2d45c29d6769","Wed, 19 Apr 2023 04:21:43 GMT"
"526c16a4-0591-395a-845f-6f211ef5bb31","Wed, 19 Apr 2023 04:21:36 GMT"
"56e711e6-c847-4f99-915a-6894bb5c5dea","Fri, 05 Jan 2024 11:20:14 GMT"
"doi:10.15468/ythnjq","2024-01-12"
"doi:10.15468/dxmzbz","2024-01-12"
"doi:10.15468/ib5ypt","2024-01-12"
"doi:10.15468/v6p9ba","2024-01-12"
"doi:10.15468/pqhlwr","2024-01-12"
"doi:10.15468/63lozv","2024-01-12"
"doi:10.15468/wydmxk","2024-01-12"
"doi:10.15468/jrjojf","2024-01-12"
"doi:10.15468/kollha","2024-01-12"
"doi:10.15468/vjoltu","2024-01-12"
"doi:10.15468/cl6p3l","2024-01-12"
"doi:10.15468/z5z7w7","2024-01-12"
"doi:10.15468/qux4dn","2024-01-12"
"doi:10.15468/aw4q6q","2024-01-12"
"doi:10.15468/jgywgc","2024-01-12"
"doi:10.15468/n4q0sa","2024-01-12"
"doi:10.15468/d7gugd","2024-01-12"
"doi:10.15468/utqe8q","2024-01-12"
"doi:10.15468/yefvnk","2024-01-12"
"doi:10.15468/r2rwih","2024-01-12"
"doi:10.15468/i4jjzm","2024-01-12"
"doi:10.15468/qjqpob","2024-01-12"
"doi:10.15468/evijly","2024-01-12"
"doi:10.15468/2vuq5t","2024-01-12"
"doi:10.15468/kavcqh","2024-01-12"
"http://ww3.bgbm.org/biocase/downloads/Herbar/Herbarium%20Berolinense,%20Berlin%20(B).DwCA.zip","Wed, 20 Dec 2023 09:47:17 GMT"
"http://data.kew.org/biocase/downloads/kdb01/Royal%20Botanic%20Gardens,%20Kew%20-%20Herbarium%20Specimens.DwCA.zip","Fri, 03 Dec 2021 19:54:16 GMT"
